,address,surface_m2,price_eur_per_year_per_m2,date,source
0,"UP ON
25-27 BOULEVARD ROMAIN ROLLAND
92120 MONTROUGE",428,585.0,2023-10-29,JLL
1,"HIGH LINE
8 RUE FRANCOIS ORY
92120 MONTROUGE",13128,370.0,2023-10-29,JLL
2,"2 BOULEVARD DU GENERAL DE GAULLE
92120 MONTROUGE",415,260.0,2023-10-29,JLL
3,"EIFFEL O2
98-100 RUE MAURICE ARNOUX
92120 MONTROUGE",5249,320.0,2023-10-29,JLL
4,"UP ON
25-27 BOULEVARD ROMAIN ROLLAND
92120 MONTROUGE",5585,415.0,2023-10-29,JLL
5,"RIVES DE PARIS
1 RUE FRANCOIS ORY
92120 MONTROUGE",5406,355.0,2023-10-29,JLL
6,"CENTRE D'AFFAIRES MONTROUGE ARC EN CIEL
11-19 RUE DE LA VANNE
92120 MONTROUGE",300,0.0,2023-10-29,JLL
7,"LE MIROIR
15-17 BOULEVARD DU GENERAL DE GAULLE
92120 MONTROUGE",835,285.0,2023-10-29,JLL
8,"61 AVENUE VERDIER
92120 MONTROUGE",184,281.0,2023-10-29,JLL
9,"109-111 AVENUE ARISTIDE BRIAND
92120 MONTROUGE",1585,220.0,2023-10-29,JLL
10,"GRAVITY
35-39 BOULEVARD ROMAIN ROLLAND
92120 MONTROUGE",10353,435.0,2023-10-29,JLL
11,"LE FAIRWAY
42 AVENUE DE LA MARNE
92120 MONTROUGE",4614,305.0,2023-10-29,JLL
12,"31 AVENUE LEON GAMBETTA
92120 MONTROUGE",367,270.0,2023-10-29,JLL
13,"39 PLACE JULES FERRY
92120 MONTROUGE",2573,280.0,2023-10-29,JLL
